id,x,y,betweenness,closeness,degree,efficiency,straightness,katz,eigenvector,current flow,harmonic
137,409.35803203326424,-455.49442585945695,0.1410607496428584,0.13031914893617022,0.02040816326530612,0.012163222272488637,0.004118386481568444,0.08028172983884181,0.11650046609897363,0.002183841798939842,35.90680096047754
138,432.5895988006767,-440.006714681182,0.18728680059550487,0.12381554011370816,0.02040816326530612,0.012055901444839022,0.0040956370387306654,0.07825905724604476,0.06502503860536771,0.0020647764130541065,34.38231711099365
139,419.98697514391733,-419.22935034281915,0.09923805024846392,0.12548015364916773,0.015306122448979591,0.015544285225971758,0.004065663712985975,0.07026104155393498,0.04058715889356361,0.0019745121015709937,33.0948828948829
140,422.7399687726972,-417.9183533082995,0.0018140589569161003,0.11193603655054254,0.01020408163265306,0.011937097881668617,0.00404926318554218,0.06226591365113258,0.017735727293745788,0.0017365151498853234,28.180368487721392
141,455.8211655680891,-425.9269772463866,0.15518689626195303,0.11277330264672036,0.015306122448979591,0.011159631798439394,0.0038555999779652707,0.07009522636870354,0.02646379414394659,0.00174741294718692,31.06432937977054
142,481.1646929507208,-411.14325293985144,0.1357007034385376,0.10299527062532843,0.015306122448979591,0.010316068266643042,0.0036730409376831866,0.06890819129911772,0.008733396141993607,0.00145635189680339,28.687123617696344
143,502.2842991029139,-397.06351550505605,0.10716902145473574,0.09441233140655106,0.015306122448979591,0.00968925632250206,0.0035515969695399064,0.06820406132382559,0.0027902822833021338,0.0011632678635879626,26.497796540404895
144,524.8118789985865,-382.98377807026066,0.06949241234955521,0.08687943262411348,0.015306122448979591,0.009102427330323303,0.0034743070445444617,0.06805637285819945,0.0008919504441266166,0.0009862585122834288,24.483232346428927
145,547.3394588942592,-416.77514791376956,0.010361067503924647,0.08013082583810302,0.01020408163265306,0.008369127134061159,0.003404701978336572,0.06124299343721352,0.00026374815141501633,0.0008897327928200193,21.4890115947005
146,562.1231832007943,-411.8472398115912,0.0004186289900575615,0.07435508345978756,0.01020408163265306,0.0076897780450350395,0.003399032632366095,0.060555418419735434,9.447777543199646e-05,0.0008477110547545954,19.545695589688762
147,564.2351438160136,-420.2950822724684,0.00015698587127158556,0.07421431276031806,0.01020408163265306,0.006655131525269407,0.0033722211858698836,0.060493047217110185,8.960264815986023e-05,0.0008466857049945573,19.295695589688762
148,557.8992619703557,-439.3027278094422,0.009837781266352695,0.07980456026058631,0.01020408163265306,0.007772950279125988,0.0033558577744782873,0.060556910177781725,0.0002406398230762425,0.0008863530042461943,20.80567826136716
149,540.2995901768616,-455.49442585945695,0.01978021978021978,0.08649602824360106,0.01020408163265306,0.00873404866743174,0.003451563610125534,0.06125791134518796,0.0008103994015455456,0.0009793592168250227,23.049899013095626
150,536.0756689464229,-466.75821580729325,0.0,0.08585194918966273,0.00510204081632653,0.00847756906807769,0.0035340626586228573,0.05507826408645758,0.0009115101614492382,0.001049071936189295,21.47608948928614
151,519.8839708964082,-477.3180188833898,0.01400151681784402,0.09386973180076628,0.015306122448979591,0.009301819722612143,0.0036371111123412814,0.06696449901625175,0.0034090803694395585,0.0013188723755213796,25.51446320707156
