id,x,y,value
219,288.2722900940238,-525.893113033434,0.02185848958872889
219,313.61581747665554,-567.4283384660804,0.02185848958872889
220,312.207843733176,-511.8133755986386,0.05894540557339687
220,336.84738424406794,-495.62167754862384,0.05894540557339687
221,312.207843733176,-511.8133755986386,0.006785455298870817
221,337.55137111580774,-555.4605616465043,0.006785455298870817
222,336.84738424406794,-495.62167754862384,0.09370143996684968
222,359.3749641397406,-483.6539007290478,0.09370143996684968
223,336.84738424406794,-495.62167754862384,0.009219931627473324
223,362.1909116266997,-539.2688635964896,0.009219931627473324
224,359.3749641397406,-483.6539007290478,0.06961566352429296
224,384.01450465063255,-467.462202679033,0.06961566352429296
225,359.3749641397406,-483.6539007290478,0.01610898166373148
225,386.83045213759164,-524.4851392899544,0.01610898166373148
226,384.01450465063255,-467.462202679033,0.09836320314928002
226,409.35803203326424,-455.49442585945695,0.09836320314928002
227,384.01450465063255,-467.462202679033,0.004920750025898684
227,410.7660057767438,-510.40540185515897,0.004920750025898684
228,409.35803203326424,-455.49442585945695,0.060084947684657615
228,432.5895988006767,-440.006714681182,0.060084947684657615
229,409.35803203326424,-455.49442585945695,0.050606029213715945
229,434.701559415896,-494.91769067688404,0.050606029213715945
230,432.5895988006767,-440.006714681182,0.23453848544493938
230,419.98697514391733,-419.22935034281915,0.23453848544493938
231,432.5895988006767,-440.006714681182,0.1294934217341759
231,455.8211655680891,-425.9269772463866,0.1294934217341759
232,432.5895988006767,-440.006714681182,0.07821402672744224
232,457.22913931156864,-481.54194011382845,0.07821402672744224
233,419.98697514391733,-419.22935034281915,0.15228426395939085
233,422.7399687726972,-417.9183533082995,0.15228426395939085
234,455.8211655680891,-425.9269772463866,0.135605511240029
234,481.1646929507208,-411.14325293985144,0.135605511240029
235,455.8211655680891,-425.9269772463866,0.014710452709002382
235,479.7567192072413,-469.57416329425234,0.014710452709002382
236,481.1646929507208,-411.14325293985144,0.1149901584999482
236,502.2842991029139,-397.06351550505605,0.1149901584999482
237,481.1646929507208,-411.14325293985144,0.019786594840982077
237,519.8839708964082,-477.3180188833898,0.019786594840982077
238,502.2842991029139,-397.06351550505605,0.0870195794053662
238,524.8118789985865,-382.98377807026066,0.0870195794053662
239,502.2842991029139,-397.06351550505605,0.019579405366207395
239,540.2995901768616,-455.49442585945695,0.019579405366207395
240,524.8118789985865,-382.98377807026066,0.030146068579716148
240,547.3394588942592,-416.77514791376956,0.030146068579716148
241,524.8118789985865,-382.98377807026066,0.04972547394592355
241,513.9072065060008,-367.02196581087105,0.04972547394592355
242,547.3394588942592,-416.77514791376956,0.02040816326530612
242,562.1231832007943,-411.8472398115912,0.02040816326530612
243,562.1231832007943,-411.8472398115912,0.010566663213508753
243,564.2351438160136,-420.2950822724684,0.010566663213508753
244,564.2351438160136,-420.2950822724684,0.0006215684243240443
244,557.8992619703557,-439.3027278094422,0.0006215684243240443
245,557.8992619703557,-439.3027278094422,0.009841500051797368
245,540.2995901768616,-455.49442585945695,0.009841500051797368
246,536.0756689464229,-466.75821580729325,0.01015228426395939
246,519.8839708964082,-477.3180188833898,0.01015228426395939
247,519.8839708964082,-477.3180188833898,0.005801305293691081
247,525.5158658703263,-490.69376944644546,0.005801305293691081
248,479.7567192072413,-469.57416329425234,0.039573189681964153
248,506.50822033335254,-506.1814806247204,0.039573189681964153
249,479.7567192072413,-469.57416329425234,0.061949652957629754
249,457.22913931156864,-481.54194011382845,0.061949652957629754
250,457.22913931156864,-481.54194011382845,0.009219931627473324
250,484.6846273094196,-525.893113033434,0.009219931627473324
251,457.22913931156864,-481.54194011382845,0.09727545840671294
251,434.701559415896,-494.91769067688404,0.09727545840671294
252,506.50822033335254,-506.1814806247204,0.01439966849684036
252,525.5158658703263,-490.69376944644546,0.01439966849684036
253,506.50822033335254,-506.1814806247204,0.02020097379053144
253,499.4683516159548,-512.5173624703783,0.02020097379053144
254,499.4683516159548,-512.5173624703783,0.01015228426395939
254,511.4361284355309,-543.4927848269282,0.01015228426395939
255,484.6846273094196,-525.893113033434,0.010981042163058116
255,460.7490736702675,-538.5648767247499,0.010981042163058116
256,484.6846273094196,-525.893113033434,0.01015228426395939
256,502.9882859746537,-550.532653544326,0.01015228426395939
257,460.7490736702675,-538.5648767247499,0.056666321350875376
257,434.701559415896,-494.91769067688404,0.056666321350875376
258,460.7490736702675,-538.5648767247499,0.01015228426395939
258,482.57266669420034,-574.4682071834782,0.01015228426395939
259,460.7490736702675,-538.5648767247499,0.03252874753962499
259,438.2214937745948,-556.164548518244,0.03252874753962499
260,434.701559415896,-494.91769067688404,0.032476950170931315
260,410.7660057767438,-510.40540185515897,0.032476950170931315
261,410.7660057767438,-510.40540185515897,0.006215684243240443
261,438.2214937745948,-556.164548518244,0.006215684243240443
262,410.7660057767438,-510.40540185515897,0.03315031596394903
262,386.83045213759164,-524.4851392899544,0.03315031596394903
263,438.2214937745948,-556.164548518244,0.01015228426395939
263,460.04508679852773,-601.2197083095894,0.01015228426395939
264,438.2214937745948,-556.164548518244,0.02434476328602507
264,413.58195326370287,-570.9482728247792,0.02434476328602507
265,413.58195326370287,-570.9482728247792,0.01015228426395939
265,436.10953315937553,-612.4834982574257,0.01015228426395939
266,413.58195326370287,-570.9482728247792,0.017714700093235263
266,389.6463996245507,-585.7319971313144,0.017714700093235263
267,413.58195326370287,-570.9482728247792,0.006733657930177147
267,386.83045213759164,-524.4851392899544,0.006733657930177147
268,389.6463996245507,-585.7319971313144,0.01015228426395939
268,411.4699926484836,-627.9712094357005,0.01015228426395939
269,389.6463996245507,-585.7319971313144,0.004558168445042992
269,362.1909116266997,-539.2688635964896,0.004558168445042992
270,389.6463996245507,-585.7319971313144,0.013467315860354294
270,362.89489849843943,-597.6997739508905,0.013467315860354294
271,386.83045213759164,-524.4851392899544,0.024085776442556717
271,362.1909116266997,-539.2688635964896,0.024085776442556717
272,362.1909116266997,-539.2688635964896,0.022117476432197244
272,337.55137111580774,-555.4605616465043,0.022117476432197244
273,337.55137111580774,-555.4605616465043,0.026572050139852896
273,362.89489849843943,-597.6997739508905,0.026572050139852896
274,337.55137111580774,-555.4605616465043,0.02159950274526054
274,313.61581747665554,-567.4283384660804,0.02159950274526054
275,362.89489849843943,-597.6997739508905,0.007407023723194861
275,338.2553579875475,-614.5954588726449,0.007407023723194861
