id,x,y,betweenness,closeness,degree,katz,current flow,harmonic,eigenvector,efficiency,straightness
194,185.03288444286227,-405.6439810206987,0.012379571117787216,0.11057581095749035,0.017857142857142856,0.07532770950527412,0.0020602341711667546,32.365499775851966,0.09571537832071084,0.017465281952609137,0.0038840829945512214
195,185.03288444286227,-405.6439810206987,0.020615352740080802,0.10349374278313517,0.015306122448979591,0.07124845030783183,0.001960550940665288,30.43861102628098,0.06552085281439732,0.014923985579625928,0.0038955306979249612
195,183.62491069938275,-406.52396461037335,0.020615352740080802,0.10349374278313517,0.015306122448979591,0.07124845030783183,0.001960550940665288,30.43861102628098,0.06552085281439732,0.014923985579625928,0.0038955306979249612
196,183.62491069938275,-406.52396461037335,0.02450015539210608,0.10196107506549634,0.017857142857142856,0.07446877789707665,0.0019711529898787353,30.394245873459944,0.07055962561267834,0.010101384537232576,0.003990502128140223
196,211.0765526375503,-451.87664254754486,0.02450015539210608,0.10196107506549634,0.017857142857142856,0.07446877789707665,0.0019711529898787353,30.394245873459944,0.07055962561267834,0.010101384537232576,0.003990502128140223
197,183.62491069938275,-406.52396461037335,0.03154459753444525,0.09883461448136124,0.017857142857142856,0.07471400953827109,0.0019534265295508796,29.77573536126084,0.06106661473626804,0.00816070271596164,0.003902166142363778
197,162.7513123199445,-420.0968926679967,0.03154459753444525,0.09883461448136124,0.017857142857142856,0.07471400953827109,0.0019534265295508796,29.77573536126084,0.06106661473626804,0.00816070271596164,0.003902166142363778
198,211.0765526375503,-451.87664254754486,0.018077281674090957,0.10049763531266422,0.02040816326530612,0.07837884787328495,0.0019871236449406017,30.384104829863016,0.07810617585120544,0.008004371819368375,0.004081124360359042
198,188.64611235468675,-465.2622415658029,0.018077281674090957,0.10049763531266422,0.02040816326530612,0.07837884787328495,0.0019871236449406017,30.384104829863016,0.07810617585120544,0.008004371819368375,0.004081124360359042
199,211.0765526375503,-451.87664254754486,0.04029835284367554,0.10510813859493992,0.015306122448979591,0.07092327681155808,0.0019168619161970166,30.363843996990283,0.06978462636035415,0.01369517095920137,0.004080166835998267
